Object Name,Velocity(km/s),Redshift,Magnitude,Distance(Mpc)
NGC 7814,1051,0.003506,11.56,25.822601906346012
NGC 7817,2310,0.007705,12.56,40.926065973001094
IC 1531,7687,0.025641,13.8,72.44359600749891
NGC 0024,554,0.001848,12.38,37.670379898390934
NGC 0045,467,0.001558,11.55,25.703957827688594
NGC 0055,131,0.000437,8.84,7.379042301291015
NGC 0134,1582,0.005277,11.4,23.988329190194897
NGC 0151,3732,0.01245,12.8,45.708818961487424
NGC 0210,1638,0.005464,12.53,40.36453929676048
ESO 079- G 005,1711,0.005708,13.72,69.82324040771705
NGC 0247,156,0.00052,9.86,11.803206356517299
NGC 0253,242,0.000807,7.09,3.2960971217745825
NGC 0262,4507,0.015034,13.2,54.954087385762485
NGC 0266,4647,0.015501,12.54,40.550853544838354
NGC 0278,627,0.00209,11.47,24.774220576332862
NGC 0289,1629,0.005434,11.72,27.797132677592884
NGC 0300,144,0.00048,8.95,7.762471166286928
NGC 0315,4942,0.016485,12.2,34.67368504525324
NGC 0337,1650,0.005504,12.46,39.08408957924025
Sculptor Dwarf Elliptical,110,0.000367,8.6,6.606934480075965
MCG -01-03-085,1095,0.003652,13.24,55.975760149511046
IC 1633,7270,0.02425,12.48,39.44573020752793
NGC 0410,5204,0.017359,12.52,40.17908108489392
NGC 0428,1155,0.003853,11.91,30.338911841942657
NGC 0439,5803,0.019357,12.59,41.49540426343633
NGC 0470,2375,0.007922,12.53,40.36453929676048
NGC 0474,2315,0.007722,12.37,37.49730022454834
NGC 0488,2272,0.007579,11.15,21.379620895022324
NGC 0507,4934,0.016458,12.2,34.67368504525324
NGC 0524,2403,0.008016,11.3,22.9086765276777
NGC 0533,5549,0.018509,12.41,38.194427084004566
NGC 0578,1629,0.005434,11.44,24.434305526939713
NGC 0584,1831,0.006106,11.44,24.434305526939713
NGC 0596,1903,0.006348,12.5,39.81071705534969
NGC 0613,1475,0.00492,10.7,17.378008287493763
NGC 0625,396,0.001321,11.5,25.118864315095824
NGC 0615,1838,0.006131,12.47,39.26449353995993
MESSIER 074,657,0.002192,9.95,12.302687708123837
NGC 0636,1877,0.006261,12.76,44.87453899331314
NGC 0660,848,0.002829,12.0,31.622776601683793
NGC 0669,4674,0.015591,13.36,59.156163417547425
IC 1727,345,0.001151,12.07,32.6587832172336
NGC 0685,1363,0.004546,11.5,25.118864315095824
NGC 0672,429,0.001431,11.47,24.774220576332862
NGC 0676,1506,0.005023,10.5,15.848931924611142
NGC 0678,2835,0.009457,13.33,58.34451042737447
NGC 0684,3537,0.011798,13.34,58.61381645140297
NGC 0691,2666,0.008893,11.6,26.302679918953814
UGC 01308,5171,0.017249,13.77,71.44963260755121
NGC 0674,3090,0.010307,12.84,46.55860935229601
NGC 0720,1745,0.005821,11.16,21.478304741305287
NGC 0718,1733,0.005781,12.59,41.49540426343633
IC 0171,5359,0.017876,13.23,55.71857489319304
UGC 01400,5336,0.017799,13.8,72.44359600749891
UGC 01378,2935,0.00979,13.5,63.09573444801929
NGC 0741,5484,0.018294,12.2,34.67368504525324
NGC 0772,2472,0.008246,10.0,12.589254117941662
NGC 0779,1391,0.00464,11.95,30.90295432513592
NGC 0777,5015,0.016728,12.49,39.627803425544016
NGC 0784,198,0.00066,12.23,35.156044052829905
NGC 0812,5163,0.017222,12.2,34.67368504525324
NGC 0821,1735,0.005787,11.67,27.164392688390837
NGC 0828,5350,0.017846,13.15,53.703179637025215
NGC 0864,1562,0.00521,11.4,23.988329190194897
NGC 0895,2288,0.007632,11.8,28.840315031265998
NGC 0890,3946,0.013164,12.2,34.67368504525324
NGC 0891,528,0.001761,10.81,18.281002161427445
NGC 0908,1505,0.005019,10.83,18.450154191794738
NGC 0925,553,0.001845,10.69,17.298163592151
NGC 0936,1434,0.004783,11.12,21.086281499332888
NGC 0955,1482,0.004943,12.93,48.5288500162121
NGC 0949,609,0.002031,12.4,38.018939632056124
ESO 115- G 015,9590,0.031989,14.37,94.18895965228398
NGC 0972,1532,0.00511,12.27,35.80964371026355
NGC 0988,1510,0.005037,11.5,25.118864315095824
IC 0239,903,0.003012,11.8,28.840315031265998
Maffei 1,66,0.000221,11.4,23.988329190194897
NGC 1022,1453,0.004847,12.09,32.96097121774583
NGC 1032,2743,0.00915,12.1,33.11311214825914
Fornax Dwarf Spheroidal,53,0.000178,9.28,9.036494737223023
NGC 1042,1371,0.004573,11.5,25.118864315095824
NGC 1023,636,0.002121,10.35,14.791083881682072
