Object Name,Redshift,Velocity(km/s),Distance(Mpc)
NGC 1357,0.007146448925,2142.451489,25.97402597
NGC 1832,0.006777047258,2031.707655,26.00472813
NGC 2276,0.00772515437,2315.943017,31.11739745
NGC 2775,0.004849880589,1453.957623,24.17582418
NGC 2903,0.001222015417,366.3510056,13.19736053
NGC 3034,0.0005231198453,156.8273843,9.446114212
NGC 3147,0.008637612549,2589.491097,29.56989247
NGC 3227,0.004851982035,1454.58762,25.67094516
NGC 3245,0.004977198794,1492.12666,34.81012658
NGC 3310,0.02815438386,8440.471942,46.21848739
NGC 3368,0.004207011613,1261.230352,19.48627104
NGC 3471,-0.001506067911,-451.5078009,54.86284289
NGC 3516,0.008181032546,2452.611856,82.39700375
NGC 3623,0.003170044056,950.3552994,9.337860781
NGC 3627,0.002271941436,681.1109076,9.98185118
NGC 3941,0.004031395202,1208.581877,29.45113788
NGC 4472,-0.001283377985,-384.7470406,17.91530945
NGC 4631,0.004964822122,1488.416228,5.684754522
NGC 4775,0.005472203044,1640.525201,41.12149533
NGC 5248,0.00338828786,1015.783146,20.73515551
NGC 5548,0.01755442476,5262.684146,56.41025641
NGC 5866,-0.001867081953,-559.737088,21.63225172
NGC 6181,0.008038844741,2409.985024,36.97478992
NGC 6217,0.00421219504,1262.784305,42.96875
NGC 6643,0.004632335536,1388.739257,24.47163515
NGC 6764,0.01105150009,3313.156378,36.85092127
NGC 7469,0.01142865988,3426.226038,97.77777778
