Results from query to NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:36:45PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,NGC 7814,0.81204,16.14542,G,1051,0.003506,S1L,11.56,0,301,9,131,40,28,14,0
2,NGC 7817,0.99546,20.75233,G,2310,0.007705,SUN,12.56,0,184,6,81,27,19,7,0
3,HD 225244,1.18882,0.05657,!*,8994,0.03,PUN,8.91,0,2,0,30,4,1,4,0
4,IC 1531,2.39824,-32.27701,G,7687,0.025641,SUN,13.8,0,89,1,70,35,17,22,0
5,NGC 0024,2.48558,-24.96314,G,554,0.001848,S1L,12.38,0,250,7,123,40,21,19,0
6,HD 000616,2.64041,0.77559,!*,8994,0.03,PUN,13.4g,0,1,0,41,6,1,4,0
7,NGC 0045,3.51662,-23.18208,G,467,0.001558,SUN,11.55,0,257,12,96,38,15,19,0
8,NGC 0055,3.72333,-39.19664,G,131,0.000437,UUN,8.84,0,570,12,89,40,24,18,0
9,NGC 0134,7.59154,-33.24403,G,1582,0.005277,UUN,11.4,0,186,6,91,25,22,19,0
10,NGC 0151,8.51162,-9.70534,G,3732,0.01245,SLS,12.8g,0,168,8,124,29,23,15,0
11,NGC 0150,8.5645,-27.80358,G,1587,0.005294,S1L,12,0,237,6,91,32,29,19,0
12,NGC 0157,8.69483,-8.39644,G,1649,0.0055,S1L,11,0,383,12,104,25,22,6,0
13,NGC 0210,10.14592,-13.87281,G,1638,0.005464,S1L,12.53,0,198,10,46,18,18,7,0
14,ESO 079- G 005,10.18137,-63.44186,G,1711,0.005708,S1L,13.72,0,59,2,44,18,13,16,0
15,NGC 0247,11.78562,-20.76039,G,156,0.00052,UUN,9.86,0,493,13,101,45,12,19,0
16,NGC 0253,11.888,-25.28822,G,242,0.000807,S1L,7.09B,0,1868,31,386,107,52,22,0
17,NGC 0262,12.19642,31.95697,G,4507,0.015034,SUN,13.2r,0,683,21,334,82,55,12,0
18,NGC 0266,12.44917,32.27772,G,4647,0.015501,S1L,12.54,0,190,6,107,35,19,14,0
19,NGC 0278,13.01796,47.5505,G,627,0.00209,SUN,11.47,0,257,17,93,30,15,7,0
20,NGC 0289,13.1765,-31.20583,G,1629,0.005434,UUN,11.72,0,236,10,97,30,22,19,0
21,NGC 0300,13.72283,-37.68439,G,144,0.00048,SUN,8.95,0,896,14,105,57,22,18,0
22,NGC 0315,14.45368,30.35245,G,4942,0.016485,SUN,12.2,0,684,22,213,77,48,12,1
