Object Name,Ca K (Å),Ca H (Å),Hα (Å),Ca K Redshift,Ca H Redshift,Hα Redshift,Average Redshift,Velocity(km/s),Galaxy Size(mrad),Distance(Mpc)
NGC 1357,3962.2,3997.8,6607.5,0.007245087322,0.007383142245,0.006811117206,0.007146448925,2142.451489,0.85,25.97402597
NGC 1832,3960.6,3995.5,6606.7,0.006838345578,0.006803578178,0.006689218017,0.006777047258,2031.707655,0.85,26.00472813
NGC 2276,3966,3996.2,6615.2,0.008211098965,0.006979967242,0.007984396904,0.00772515437,2315.943017,0.71,31.11739745
NGC 2775,3954.4,3987.7,6592,0.005262221318,0.004838100038,0.004449320412,0.004849880589,1453.957623,0.91,24.17582418
NGC 2903,3938.1,3972.2,6573.4,0.001118539797,0.0009323421948,0.001615164259,0.001222015417,366.3510056,1.67,13.19736053
NGC 3034,3936.6,3971.5,6563.3,0.0007372194117,0.0007559531309,0.00007618699336,0.0005231198453,156.8273843,2.33,9.446114212
NGC 3147,3967.6,4001.7,6621.4,0.00861784071,0.008365881315,0.008929115621,0.008637612549,2589.491097,0.74,29.56989247
NGC 3227,3949,3983.8,6607.5,0.003889467931,0.003855360968,0.006811117206,0.004851982035,1454.58762,0.86,25.67094516
NGC 3245,3948.2,3983.8,6611.3,0.003686097059,0.003855360968,0.007390138356,0.004977198794,1492.12666,0.63,34.81012658
NGC 3310,4107,4118.7,6579.6,0.04405521519,0.03784805342,0.002559882977,0.02815438386,8440.471942,0.48,46.21848739
NGC 3368,3945.9,3980.7,6605.1,0.003101405801,0.003074209399,0.006445419638,0.004207011613,1261.230352,1.13,19.48627104
NGC 3471,3894,3962.2,6609.8,-0.01009227953,-0.001587501575,0.007161577376,-0.001506067911,-451.5078009,0.40,54.86284289
NGC 3516,3969.9,3998.6,6613.7,0.009202531967,0.007584729747,0.007755835924,0.008181032546,2452.611856,0.27,82.39700375
NGC 3623,3940.5,3976.1,6601.3,0.001728652414,0.001915081265,0.005866398488,0.003170044056,950.3552994,2.36,9.337860781
NGC 3627,3942.8,3977.6,6577.3,0.002313343671,0.00229305783,0.002209422807,0.002271941436,681.1109076,2.20,9.98185118
NGC 3941,3945.9,3980,6602.8,0.003101405801,0.002897820335,0.006094959469,0.004031395202,1208.581877,0.75,29.45113788
NGC 4472,3949.8,3978.4,6494.3,0.004092838803,0.002494645332,-0.01043761809,-0.001283377985,-384.7470406,1.23,17.91530945
NGC 4631,3972.2,3980,6577.3,0.009787223225,0.002897820335,0.002209422807,0.004964822122,1488.416228,3.87,5.684754522
NGC 4775,3958.3,3989.3,6595.1,0.00625365432,0.005241275041,0.004921679771,0.005472203044,1640.525201,0.54,41.12149533
NGC 5248,3946.7,3982.3,6585,0.003304776673,0.003477384402,0.003382702505,0.00338828786,1015.783146,1.06,20.73515551
NGC 5548,4002.4,4040.4,6674.9,0.01746447365,0.0181176767,0.01708112391,0.01755442476,5262.684146,0.39,56.41025641
NGC 5866,3936.6,3952.9,6547,0.0007372194117,-0.003930956281,-0.00240750899,-0.001867081953,-559.737088,1.02,21.63225172
NGC 6181,3966,4003.2,6609.8,0.008211098965,0.008743857881,0.007161577376,0.008038844741,2409.985024,0.60,36.97478992
NGC 6217,3949.8,3986.2,6589.6,0.004092838803,0.004460123472,0.004083622844,0.00421219504,1262.784305,0.51,42.96875
NGC 6643,3952.9,3986.2,6592.7,0.004880900933,0.004460123472,0.004555982203,0.004632335536,1388.739257,0.90,24.47163515
NGC 6764,3996.2,4008.6,6609.8,0.01588834939,0.01010457352,0.007161577376,0.01105150009,3313.156378,0.60,36.85092127
NGC 7469,3983.8,3994.7,6660.9,0.01273610087,0.006601990677,0.0149478881,0.01142865988,3426.226038,0.23,97.77777778
